microseconds, optical_contrast
1.500000000000000118e-02 -4.925499858765510774e-01
1.750000000000000167e-02 -4.933005565083004584e-01
2.000000000000000042e-02 -6.617802563678457650e-01
2.249999999999999917e-02 -7.049707361305781461e-01
2.499999999999999792e-02 -7.722674704127221457e-01
2.750000000000000014e-02 -1.074763044692409908e+00
3.000000000000000236e-02 -1.300247983743192837e+00
3.250000000000000111e-02 -1.333190298969323395e+00
3.500000000000000333e-02 -1.899172607501305121e+00
3.749999999999999861e-02 -2.143610370003281584e+00
4.000000000000000083e-02 -2.512446165395703979e+00
4.250000000000000305e-02 -2.821091971226679096e+00
4.499999999999999833e-02 -3.115078270222721102e+00
4.750000000000000056e-02 -3.554474035971057155e+00
4.999999999999999584e-02 -4.004768091025404431e+00
5.249999999999999806e-02 -4.535241404776659380e+00
5.500000000000000028e-02 -4.861693141314875177e+00
5.749999999999999556e-02 -5.205018713006773545e+00
6.000000000000000472e-02 -5.837889122603579395e+00
6.250000000000000000e-02 -6.183991804785106794e+00
6.500000000000000222e-02 -6.506528833451996618e+00
6.750000000000000444e-02 -6.825927611604337919e+00
7.000000000000000666e-02 -6.904219153533959208e+00
7.250000000000000888e-02 -7.083863215093121113e+00
7.499999999999999722e-02 -7.292141190193570210e+00
7.749999999999999944e-02 -7.174536937769049771e+00
8.000000000000000167e-02 -7.357271937660295080e+00
8.250000000000000389e-02 -7.509648931306196928e+00
8.500000000000000611e-02 -7.463369585831014064e+00
8.749999999999999445e-02 -7.488682859601522246e+00
8.999999999999999667e-02 -7.199670725138804350e+00
9.249999999999999889e-02 -7.228165175183680624e+00
9.500000000000000111e-02 -7.110942512431867257e+00
9.750000000000000333e-02 -6.861175989675108333e+00
9.999999999999999167e-02 -6.598631040738904829e+00
1.024999999999999939e-01 -6.607409310552678328e+00
1.049999999999999961e-01 -6.337968462027925298e+00
1.074999999999999983e-01 -5.998763753245152763e+00
1.100000000000000006e-01 -5.541736460193181557e+00
1.125000000000000028e-01 -5.192515821636205509e+00
1.149999999999999911e-01 -5.062796029011665588e+00
1.174999999999999933e-01 -4.566665074441993433e+00
1.200000000000000094e-01 -4.202318673980010466e+00
1.224999999999999978e-01 -4.038023908973059406e+00
1.250000000000000000e-01 -3.578651097182043106e+00
1.275000000000000022e-01 -3.027049740872870487e+00
1.300000000000000044e-01 -2.949855424287891825e+00
1.325000000000000067e-01 -2.337678404268922705e+00
1.350000000000000089e-01 -2.225924867417209185e+00
1.375000000000000111e-01 -1.933669786162371063e+00
1.400000000000000133e-01 -1.784895706884711775e+00
1.425000000000000155e-01 -1.514292728659763165e+00
1.450000000000000178e-01 -1.286130988812571596e+00
1.474999999999999922e-01 -1.025922910327957238e+00
1.499999999999999944e-01 -9.879875046939857741e-01
1.524999999999999967e-01 -9.302582420616573033e-01
1.549999999999999989e-01 -9.864202265632440181e-01
1.575000000000000011e-01 -9.253682398723327429e-01
